code,term,term_clean,semantic_tag
3468005,Neonatal infective mastitis (disorder),Neonatal infective mastitis,disorder
3502005,Cervical lymphadenitis (disorder),Cervical lymphadenitis,disorder
3515001,"Replacement of electronic heart device, pulse generator (procedure)","Replacement of electronic heart device, pulse generator",procedure
3528008,Restricted carbohydrate fat controlled diet (finding),Restricted carbohydrate fat controlled diet,finding
3545003,Diastolic dysfunction (finding),Diastolic dysfunction,finding
3548001,Brachial plexus disorder (disorder),Brachial plexus disorder,disorder
3572006,Structure of body of vertebra (body structure),Structure of body of vertebra,body structure
3577000,Retinal lattice degeneration (disorder),Retinal lattice degeneration,disorder
3583002,Caudal (qualifier value),Caudal,qualifier value
3589003,Syphilitic pericarditis (disorder),Syphilitic pericarditis,disorder
3677008,Academic problem (finding),Academic problem,finding
3692009,Sodium sulfite (substance),Sodium sulfite,substance
3696007,Nonulcer dyspepsia (disorder),Nonulcer dyspepsia,disorder
3698008,Micronesians (ethnic group),Micronesians,ethnic group
3699000,Transverse deficiency of upper limb (disorder),Transverse deficiency of upper limb,disorder
3704008,Diffuse endocapillary proliferative glomerulonephritis (disorder),Diffuse endocapillary proliferative glomerulonephritis,disorder
3711007,Structure of great blood vessel (organ) (body structure),Structure of great blood vessel (organ),body structure
3713005,Release for de Quervain's tenosynovitis of hand (procedure),Release for de Quervain's tenosynovitis of hand,procedure
3716002,Goiter (disorder),Goiter,disorder
3718001,Cow's milk (substance),Cow's milk,substance
3723001,Arthritis (disorder),Arthritis,disorder
3738000,Viral hepatitis (disorder),Viral hepatitis,disorder
3744001,Hyperlipoproteinemia (disorder),Hyperlipoproteinemia,disorder
3754002,Dysplasia of vagina (disorder),Dysplasia of vagina,disorder
3818007,Senegalese (ethnic group),Senegalese,ethnic group
3829006,Iron (substance),Iron,substance
3839000,Lipid-rich carcinoma (morphologic abnormality),Lipid-rich carcinoma,morphologic abnormality
3855007,Disorder of pancreas (disorder),Disorder of pancreas,disorder
3885002,ABO isoimmunization affecting pregnancy (disorder),ABO isoimmunization affecting pregnancy,disorder
